"",A : Abstraction,B : Algorithmic thinking,C : Collaboration,D : Consider,E : Integrating programming with other domains,F : Irrelevant,G : Isolated programming teaching,H : Planning,I : Problem solving,J : Design,K : Documentation,L : Entire process,M : Implementation,N : Instructions,O : Testing,P : Problems,Q : Domain problems,R : Programming as a language,S : Programming as a tool
1 : 1-133-17055966092840,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 : 10-133-4465139682790,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3 : 100-133-4250302691022,1,0,1,0,0,0,1,0,0,1,0,0,1,3,1,0,0,1,0
4 : 101-133-1932825120808,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,2
5 : 102-133-5311719464623,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
6 : 103-133-12352581850944,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
7 : 104-133-12139750382887,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
8 : 105-133-10325022283932,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
9 : 106-133-17024641665903,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10 : 107-133-4064977296961,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11 : 108-133-10245469323974,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12 : 109-133-14750169075667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13 : 11-133-4145005825333,0,1,1,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0
14 : 110-133-8164643525221,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
15 : 111-133-11586782665492,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
16 : 112-133-316581326191,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0
17 : 113-133-16367655671346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18 : 114-133-4689175303706,0,0,1,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0
19 : 115-133-5273217985181,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20 : 116-133-5476645537817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21 : 117-133-13971586665115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
22 : 118-133-14972845478621,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
23 : 119-133-16902314744503,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
24 : 12-133-12463174011723,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0
25 : 120-133-3254435364218,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26 : 121-133-12607722724671,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27 : 122-133-17288241521386,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 : 123-133-11032963233261,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
29 : 124-133-6932739900315,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0
30 : 125-133-1360978490147,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
31 : 126-133-630534343299,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32 : 127-133-10761177408808,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
33 : 128-133-2356322927459,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34 : 129-133-9570855103385,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35 : 13-133-2179316463871,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36 : 130-133-3339447814984,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37 : 131-133-17302965925720,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
38 : 132-133-5230758736508,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39 : 133-133-4701250971268,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
40 : 14-133-10537474052711,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
41 : 15-133-12450064059689,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42 : 16-133-4788338184714,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
43 : 17-133-6504499499721,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0
44 : 18-133-16900200747016,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45 : 19-133-4590964778020,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
46 : 2-133-8202960206106,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
47 : 20-133-1314273936637,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
48 : 21-133-4312928805014,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
49 : 22-133-5390692048580,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50 : 23-133-17516243848896,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
51 : 24-133-8266011260125,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0
52 : 25-133-7909513372059,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
53 : 26-133-4617775987649,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
54 : 27-133-2239728736255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55 : 28-133-6444997950857,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
56 : 29-133-17251589435143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57 : 3-133-678412038550,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
58 : 30-133-2532908777589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59 : 31-133-10144116235604,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
60 : 32-133-14638895520488,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
61 : 33-133-13295667182221,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1
62 : 34-133-12622622900001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
63 : 35-133-8342938454666,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
64 : 36-133-7440836497906,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
65 : 37-133-15329788588749,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
66 : 38-133-1254800832922,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
67 : 39-133-16815869815292,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
68 : 4-133-7076272597809,1,1,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0
69 : 40-133-10973404404367,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70 : 41-133-15459461629305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71 : 42-133-14840802333169,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
72 : 43-133-8366322580502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73 : 44-133-7906782905348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
74 : 45-133-16692013210157,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0
75 : 46-133-11818850997644,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
76 : 47-133-13659375244923,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77 : 48-133-5672204766843,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
78 : 49-133-13226518514151,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
79 : 5-133-8222295856032,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
80 : 50-133-5235256646777,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
81 : 51-133-14739578534670,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0
82 : 52-133-12885606998972,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
83 : 53-133-3255734886257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84 : 54-133-2957234480076,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
85 : 55-133-17240377355124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
86 : 56-133-4097327584103,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
87 : 57-133-4728786273645,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
88 : 58-133-4474687531159,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
89 : 59-133-9658444569345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90 : 6-133-11790705162171,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
91 : 60-133-15390540678470,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
92 : 61-133-8201726999499,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
93 : 62-133-7608104221744,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
94 : 63-133-1604036354210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
95 : 64-133-14110252899602,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
96 : 65-133-6559019243983,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
97 : 66-133-17554772856020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98 : 67-133-11709929032908,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
99 : 68-133-17230257689205,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
100 : 69-133-16300564704927,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
101 : 7-133-6697058037638,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
102 : 70-133-12621574536699,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
103 : 71-133-2436349302735,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0
104 : 72-133-5043666604289,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
105 : 73-133-14339428431149,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
106 : 74-133-9285520292066,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
107 : 75-133-8763418440910,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
108 : 76-133-13980880147254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109 : 77-133-1639874394429,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
110 : 78-133-5144719828670,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
111 : 79-133-15933047468555,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
112 : 8-133-8453586502573,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1
113 : 80-133-10671665214598,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
114 : 81-133-13785943263840,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
115 : 82-133-9292395829814,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2
116 : 83-133-10316003513705,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
117 : 84-133-16895799503723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
118 : 85-133-17093319437317,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
119 : 86-133-14763524100597,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
120 : 87-133-15962974433741,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0
121 : 88-133-8959774886916,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
122 : 89-133-5893245759937,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123 : 9-133-14657278520249,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
124 : 90-133-7398700295692,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
125 : 91-133-11908270182199,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0
126 : 92-133-4626758849813,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
127 : 93-133-5395271858675,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128 : 94-133-10368384861439,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
129 : 95-133-16698335510560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130 : 96-133-3621161910601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131 : 97-133-16062360917565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132 : 98-133-15834020881184,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0
133 : 99-133-8024253767199,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0